Cell_Type,Positive,Negative,POS.ALT.NAME,NEG.ALT.NAME
Th1,CD3D,,,
Th1,CD3G,,,
Th1,CD3E,,,
Th1,KLRD1,,CD94,
Th1,CXCR3,,CD183,
Th1,CCR5,,CD195,
Th1,TBX21,,Tbet,
Th1,IL2,,,
Th1,IFNG,,,
Th1,TNF,,TNFA,
Th1,STAT1,,,
Th1,STAT4,,,
Th1,FASLG,,CD178,
Th1,IL18R1,,CD218,
Th1,LTBR,,,
Th2_cells,CD3D,,,
Th2_cells,CD3E,,,
Th2_cells,CD3G,,,
Th2_cells,CD4,,,
Th2_cells,CCR3,,CD193,
Th2_cells,CCR4,,CD194,
Th2_cells,CXCR4,,CD184,
Th2_cells,GATA3,,,
Th2_cells,STAT6,,,
Th2_cells,IL4,,,
Th2_cells,IL5,,,
Th2_cells,IL6,,,
Th2_cells,IL13,,,
Th17_cells,CD3D,,,
Th17_cells,CD3E,,,
Th17_cells,CD3G,,,
Th17_cells,CD4,,,
Th17_cells,KLRB1,,CD161,
Th17_cells,CCR4`,,CD194,
Th17_cells,CCR6,,CD196,
Th17_cells,RORC,,RORG,
Th17_cells,STAT3,,,
Th17_cells,IL17A,,,
Th17_cells,IL17F,,,
Th17_cells,IL21,,,
Th17_cells,IL22,,,
Th17_cells,IL26,,,
Tregs,CD3D,,,
Tregs,CD3E,,,
Tregs,CD3G,,,
Tregs,CD4,,,
Tregs,IL2RA,,CD25,
Tregs,IL7R,,CD127,
Tregs,FOXP3,,,
Tregs,STAT5,,,
Tregs,IL10,,,
Tregs,TGFB1,,,
Tregs,IL35,,,
Tregs,ENTPD1,,CD39,
Tregs,ITGAE,,CD103,
Tregs,NT5E,,CD73,
Tfh_cell,CD3D,,,
Tfh_cell,CD3E,,,
Tfh_cell,CD3G,,,
Tfh_cell,CD4,,,
Tfh_cell,STAT3,,,
Tfh_cell,BCL6,,,
Tfh_cell,CD69,,,
Tfh_cell,CXCR5,,CD185,
Tfh_cell,CCR7,,CD197,
Tfh_cell,IL6R,,CD126,
Tfh_cell,SLAMF1,,CD150,
Tfh_cell,IL6,,,
Tfh_cell,IL10,,,
Tfh_cell,IL21,,,
Naive,CD45RA,CD45RO,,
Naive,SELL,FAS,CD62L,CD95
Naive,CCR7,,,
Stem_cell-like_memory_T_cells_(Tscm),CD45RA,CD45RO,,
Stem_cell-like_memory_T_cells_(Tscm),SELL,,CD62L,
Stem_cell-like_memory_T_cells_(Tscm),FAS,,CD95,
Stem_cell-like_memory_T_cells_(Tscm),CCR7,,,
Central_memory_T-Cells_(Tcm),CD45RO,CD45RA,,
Central_memory_T-Cells_(Tcm),SELL,,CD62L,
Central_memory_T-Cells_(Tcm),FAS,,CD95,
Central_memory_T-Cells_(Tcm),CCR7,,,
Effector_memory_T_cells_(Tem),CD45RO,CD45RA,,
Effector_memory_T_cells_(Tem),FAS,SELL,CD95,CD62L
Effector_memory_T_cells_(Tem),,CCR7,,
Effector_memory_RA+_T_cells_(Temra),CD45RA,CD45RO,,
Effector_memory_RA+_T_cells_(Temra),FAS,SELL,CD95,CD62L
Effector_memory_RA+_T_cells_(Temra),,CCR7,,
Cytotoxic_cells,CD3D,,,
Cytotoxic_cells,CD3E,,,
Cytotoxic_cells,CD3G,,,
Cytotoxic_cells,CD8A,,,
Cytotoxic_cells,LAMP1,,CD107a,
Cytotoxic_cells,FASLG,,CD178,
Cytotoxic_cells,GZMB,,,
Cytotoxic_cells,IFNG,,,
Cytotoxic_cells,PRF1,,,
Cytotoxic_cells,TNFSF10,,CD253,
Cytotoxic_cells,TNF,,TNFA,
NK_cells,FCGR3A,CD3E,CD16,
NK_cells,NCAM1,CD3D,CD56,
NK_cells,CD57,CD3G,,
NKT_Cells,CD3E,,,
NKT_Cells,CD3D,,,
NKT_Cells,CD3G,,,
NKT_Cells,CD1d,,,
NKT_Cells,CD160,,,
NKT_Cells,TRAC,,,
Gamma/Delta_T_cells,CD3E,,,
Gamma/Delta_T_cells,CD3D,,,
Gamma/Delta_T_cells,CD3G,,,
Gamma/Delta_T_cells,TRDC,,,
B-cells,CD19,,,
B-cells,MS4A1,,,
B-cells,PAX8,,,
DC,ITGAX,,,
DC,CD14,,,
DC,HLA-DRA,,,
Macs,ITGAM,,,
Macs,CD14,,,
Macs,CD68,,,
Fibroblast,ACTA2,,,
Fibroblast,COL11A1,,,
Fibroblast,COL1A1,,,
Fibroblast,FAP,,,
Epithelial,EPCAM,,,
Epithelial,KRT8,,,
Epithelial,KRT18,,,
Epithelial,KRT19,,,
Epithelial,KRT10,,,
Epithelial,KRT7,,,
Immune,PTPRC,,,
