Cell type,Positive
B_cells,CD19
B_cells,MS4A1
B_cells,CD79A
B_cells,CD79B
B_cells,PAX5
GC,AICDA
GC,BCL6
GC,MME
,BCL2
Plasmablast,CD19
Plasmablast,CD27
Plasmablast,CD38
Plasma_cell,CD27
Plasma_cell,CD38
Plasma_cell,SDC1
Plasma_cell,PRDM1
,JCHAIN
,IGHD
,IGHM
,IGHG1
T_cells,CD3D
T_cells,CD3E
T_cells,CD3G
CD4_T_cells,CD3D
CD4_T_cells,CD3E
CD4_T_cells,CD3G
CD4_T_cells,CD4
CD4_T_cells,IL7R
Th1,CXCR3
,TBX21
Th2,CCR4
,GATA3
Tfh,CXCR5
CD8_T_cells,CD3D
CD8_T_cells,CD3E
CD8_T_cells,CD3G
CD8_T_cells,CD8A
Tregs,CD3D
Tregs,CD4
Tregs,FOXP3
Tregs,IL2RA
DC,CD1C
DC,ITGAX
DC,CD83
DC,CD14
DC,CD209
DC,HLA-DRA
DC,HLA-DRB1
DC,HLA-DPA1
DC,HLA-DPB1
DC,HLA-DQA1
DC,HLA-DQB1
NK_cells,FCGR3A
NK_cells,NCAM1
Macs,ITGAM
Macs,CD14
Macs,CD68
Macs,CD163
Macs,FCGR1A
Monocytes,CD14
Monocytes,FCGR3A
Monocytes,CSF1R
Mast,ENPP3
Mast,KIT
Immune,PTPRC
Fibroblast,ACTA2
Fibroblast,COL11A1
Fibroblast,COL1A1
Fibroblast,FAP
Epithelial,EPCAM
Epithelial,KRT8
Epithelial,KRT18
Epithelial,KRT19
Epithelial,KRT10
Epithelial,KRT7
